region,annee,semaine,temp_moy_c,temp_max_c,temp_min_c,temp_surface_c,pluie_mm,humidite_pct,vent_moy_ms,pression_hpa,humidite_sol_racine,humidite_sol_surface,evapotranspiration_mm,ndvi,lst_jour_c,ndvi_lag2,ndvi_lag4,ndvi_lag8,semaine_sin,semaine_cos,cas_confirmes,pluie_lag2,pluie_lag4,population,strate_risque,saison,indice_vectoriel
DAKAR,2018,16,19.038571428571423,20.14,18.37,18.76142857142857,0.0,89.63285714285715,6.028571428571429,101.34571428571428,0.21,0.87,0.07,0.1857081280284381,32.98459354486181,0.1845689669373705,0.1876233372170251,0.2096925905436025,0.9350162426854148,-0.3546048870425354,59.56,0.0,0.04,3635000,moderee,seche,0.000121735025869717
DAKAR,2018,17,19.952857142857145,23.42,18.67,19.29,0.35,87.07142857142857,5.751428571428571,101.23714285714286,0.21,0.87,0.07,0.1851214547231515,34.27168834620331,0.1862948013337247,0.1828431325410164,0.2039295743267463,0.8854560256532099,-0.4647231720437685,72.57,0.07,0.5499999999999999,3635000,moderee,seche,0.00011931054140318016
DAKAR,2018,18,20.457142857142856,21.76,19.64,20.014285714285712,0.0,85.58428571428571,6.5200000000000005,101.19857142857144,0.21,0.87,0.07,0.1823005125173132,34.34059413991143,0.1857081280284381,0.1845689669373705,0.1981665581098901,0.8229838658936565,-0.5680647467311557,58.53,0.0,0.0,3635000,moderee,seche,0.0001155962530585755
DAKAR,2018,19,20.22571428571429,21.04,19.65,20.17714285714285,0.02,88.45857142857143,6.018571428571429,101.23571428571428,0.2085714285714285,0.8685714285714285,0.06,0.1794795703114749,34.40949993361954,0.1851214547231515,0.1862948013337247,0.192403541893034,0.7485107481711013,-0.663122658240795,60.32,0.35,0.07,3635000,moderee,seche,0.00012014610935359263
DAKAR,2018,20,20.19428571428572,20.92,19.68,20.06428571428572,0.0,88.49428571428572,5.417142857142857,101.21428571428572,0.2,0.86,0.03,0.1766586281056366,34.78500346653691,0.1823005125173132,0.1857081280284381,0.1876233372170251,0.6631226582407952,-0.7485107481711012,58.53,0.0,0.0,3635000,moderee,seche,0.0001199508195552618
DAKAR,2018,21,20.21857142857143,21.06,19.65,19.90285714285714,0.0,87.62,5.521428571428571,101.22857142857144,0.2,0.86,0.0,0.1603578994402213,30.68798926111137,0.1794795703114749,0.1851214547231515,0.1828431325410164,0.5680647467311558,-0.8229838658936564,67.46,0.02,0.35,3635000,moderee,seche,0.00011965749684466644
DAKAR,2018,22,20.768571428571427,21.73,19.92,20.44,0.11,93.51285714285714,2.961428571428572,101.2414285714286,0.2,0.86,0.0,0.144057170774806,31.449215253936345,0.1766586281056366,0.1823005125173132,0.1845689669373705,0.464723172043769,-0.8854560256532096,58.53,0.0,0.0,3635000,moderee,seche,0.00012821444424949226
DAKAR,2018,23,22.452857142857145,23.29,20.9,22.358571428571427,1.89,92.14714285714284,3.005714285714286,101.33714285714288,0.2,0.8628571428571429,0.0,0.1540719518045604,27.957933753214583,0.1603578994402213,0.1794795703114749,0.1862948013337247,0.3546048870425358,-0.9350162426854148,59.04,0.0,0.02,3635000,moderee,seche,0.00012747789229797062
DAKAR,2018,24,23.42571428571429,24.67,22.19,23.81428571428572,4.67,85.46142857142857,4.277142857142858,101.39428571428572,0.2,0.87,0.0,0.1640867328343149,33.58836415005497,0.144057170774806,0.1766586281056366,0.1857081280284381,0.2393156642875576,-0.970941817426052,58.53,0.11,0.0,3635000,moderee,seche,0.00011769344938095001
DAKAR,2018,25,23.775714285714287,24.55,22.65,24.487142857142857,0.22,86.97,4.6971428571428575,101.41285714285712,0.2,0.8628571428571429,0.0,0.1667593610279576,30.09321323168833,0.1540719518045604,0.1603578994402213,0.1851214547231515,0.120536680255323,-0.992708874098054,58.53,1.89,0.0,3635000,moderee,transmission,0.00012034629878123606
DAKAR,2018,26,24.47428571428572,25.82,23.26,25.255714285714284,3.42,88.56142857142856,3.924285714285714,101.15285714285712,0.2085714285714285,0.8771428571428571,0.04,0.1694319892216003,33.45001774009201,0.1640867328343149,0.144057170774806,0.1823005125173132,-3.216245299353273e-16,-1.0,61.34,4.67,0.11,3635000,moderee,transmission,0.00012374920913522691
DAKAR,2018,27,25.47714285714286,27.18,23.82,26.06,11.65,86.34285714285714,3.5685714285714285,101.25,0.21,0.8728571428571429,0.07,0.1721046174152431,36.80682224849568,0.1667593610279576,0.1540719518045604,0.1794795703114749,-0.1205366802553228,-0.992708874098054,106.75,0.22,1.89,3635000,moderee,transmission,0.0001266524531353275
DAKAR,2018,28,26.15,27.8,25.21,26.58428571428572,12.8,84.78142857142858,3.682857142857143,101.35142857142856,0.2214285714285714,0.88,0.12,0.1866196834865325,19.60207698839516,0.1694319892216003,0.1640867328343149,0.1766586281056366,-0.2393156642875574,-0.970941817426052,177.67,3.42,4.67,3635000,moderee,transmission,0.00013350123010398852
DAKAR,2018,29,26.487142857142857,27.2,25.49,27.01,14.51,82.00857142857141,4.434285714285714,101.18857142857144,0.2657142857142857,0.89,0.54,0.2011347495578219,32.950154875309074,0.1721046174152431,0.1667593610279576,0.1603578994402213,-0.3546048870425356,-0.9350162426854148,64.15,11.65,0.22,3635000,moderee,transmission,0.0001154509028085714
DAKAR,2018,30,26.00857142857143,26.83,25.36,27.02428571428572,8.59,83.40857142857143,4.2457142857142856,101.39857142857144,0.2857142857142857,0.8828571428571428,0.91,0.1911969355682171,32.662480927088374,0.1866196834865325,0.1694319892216003,0.144057170774806,-0.464723172043768,-0.8854560256532101,145.78,12.8,3.42,3635000,moderee,transmission,0.00012731279182932607
DAKAR,2018,31,26.21142857142857,26.98,25.37,26.9,34.17,86.25999999999999,4.204285714285715,101.27,0.3028571428571429,0.8928571428571429,1.0,0.1812591215786123,31.78240737178256,0.2011347495578219,0.1721046174152431,0.1540719518045604,-0.5680647467311556,-0.8229838658936565,355.74,14.51,11.65,3635000,moderee,transmission,0.00015780606019861923
DAKAR,2018,32,26.255714285714284,26.74,25.45,27.08142857142857,8.520000000000001,83.95714285714287,4.581428571428572,101.32428571428572,0.3085714285714286,0.8842857142857143,1.34,0.193229395329508,30.263215495924584,0.1911969355682171,0.1866196834865325,0.1640867328343149,-0.663122658240795,-0.7485107481711013,385.08,8.59,12.8,3635000,moderee,transmission,0.00015786460265241576
DAKAR,2018,33,26.38,27.04,24.82,27.24142857142857,15.68,80.53571428571429,4.0685714285714285,101.34285714285714,0.3114285714285714,0.8885714285714286,1.08,0.2051996690804037,38.5690750688792,0.1812591215786123,0.2011347495578219,0.1667593610279576,-0.7485107481711011,-0.6631226582407952,428.7,34.17,14.51,3635000,moderee,transmission,0.0001579882701590787
DAKAR,2018,34,26.687142857142856,27.86,25.89,27.372857142857143,17.98,83.39,3.597142857142857,101.21857142857142,0.3228571428571429,0.8942857142857142,1.06,0.2158439509307843,36.0160395386643,0.193229395329508,0.1911969355682171,0.1694319892216003,-0.8229838658936564,-0.5680647467311559,277.68,8.520000000000001,8.59,3635000,moderee,transmission,0.00014412938155706077
DAKAR,2018,35,27.13,28.76,25.61,27.835714285714285,111.4,85.16,3.69,101.06714285714284,0.4071428571428571,0.9171428571428571,1.14,0.2264882327811649,33.4630040084494,0.2051996690804037,0.1812591215786123,0.1721046174152431,-0.8854560256532096,-0.4647231720437691,930.25,15.68,34.17,3635000,moderee,transmission,0.00022770767765510622
DAKAR,2018,36,27.13,28.71,26.15,27.572857142857146,83.26,85.9057142857143,4.511428571428572,100.97142857142856,0.4985714285714286,0.9328571428571428,0.67,0.2371325146315456,30.056324831207835,0.2158439509307843,0.193229395329508,0.1866196834865325,-0.9350162426854148,-0.3546048870425359,275.89,17.98,8.520000000000001,3635000,moderee,transmission,0.00014826224658774152
DAKAR,2018,37,26.62142857142857,27.96,25.87,26.97714285714286,20.18,85.96285714285715,2.9857142857142853,101.17714285714284,0.5257142857142857,0.9342857142857144,0.04,0.2903981701126372,29.350000000000023,0.2264882327811649,0.2051996690804037,0.2011347495578219,-0.970941817426052,-0.2393156642875577,458.55,111.4,15.68,3635000,moderee,transmission,0.00017058875168083463
DAKAR,2018,38,27.45,29.96,26.34,27.49714285714285,32.95,86.51142857142858,3.1757142857142857,101.08,0.5285714285714286,0.9357142857142856,0.13,0.3436638255937289,33.678479093476014,0.2371325146315456,0.2158439509307843,0.1911969355682171,-0.992708874098054,-0.1205366802553235,517.23,83.26,17.98,3635000,moderee,transmission,0.0001794590734368045
DAKAR,2018,39,27.172857142857143,28.55,26.53,27.455714285714286,50.23,85.08285714285715,3.62,101.12285714285714,0.5685714285714286,0.9428571428571428,0.01,0.3589599094241832,32.19423948414188,0.2903981701126372,0.2264882327811649,0.1812591215786123,-1.0,-1.8369701987210292e-16,2900.48,20.18,111.4,3635000,moderee,transmission,0.0004707411147299713
DAKAR,2018,40,27.825714285714287,29.04,26.8,27.90714285714285,22.57,83.69428571428571,2.44,101.2057142857143,0.5771428571428572,0.9414285714285714,0.03,0.3742559932546375,35.06047770936873,0.3436638255937289,0.2371325146315456,0.193229395329508,-0.992708874098054,0.1205366802553232,2182.59,32.95,83.26,3635000,moderee,transmission,0.00038063624944180625
DAKAR,2018,41,27.9,29.12,26.68,28.20428571428572,3.56,82.78428571428572,3.8485714285714288,101.18714285714285,0.55,0.9342857142857144,0.09,0.3443141652279083,34.69493742015996,0.3589599094241832,0.2903981701126372,0.2051996690804037,-0.970941817426052,0.2393156642875573,573.35,50.23,20.18,3635000,moderee,transmission,0.0001808720240161099
DAKAR,2018,42,27.69,29.04,26.06,28.02857142857143,13.44,77.61,3.487142857142857,101.19285714285716,0.5242857142857142,0.9314285714285716,0.13,0.3143723372011792,35.624824691058095,0.3742559932546375,0.3436638255937289,0.2158439509307843,-0.9350162426854148,0.3546048870425355,899.13,22.57,32.95,3635000,moderee,transmission,0.00021265094129164515
DAKAR,2018,43,27.125714285714285,28.61,26.1,27.302857142857142,0.24,84.66857142857144,4.005714285714285,101.14428571428572,0.4928571428571429,0.9185714285714288,1.28,0.28443050917445,36.55471196195624,0.3443141652279083,0.3589599094241832,0.2264882327811649,-0.8854560256532101,0.464723172043768,1339.96,3.56,50.23,3635000,moderee,transmission,0.0002775605449444473
DAKAR,2018,44,26.124285714285715,27.97,24.78,26.02142857142857,0.89,77.81857142857143,5.55,101.18142857142855,0.4571428571428572,0.91,2.07,0.2833320120555332,33.75170071456104,0.3143723372011792,0.3742559932546375,0.2371325146315456,-0.822983865893657,0.5680647467311548,634.32,13.44,22.57,3635000,moderee,transmission,0.00017904059241349014
DAKAR,2018,45,26.285714285714285,29.75,24.83,25.982857142857146,0.26,74.77142857142857,4.202857142857143,101.14857142857144,0.4271428571428571,0.9042857142857142,1.89,0.2822335149366166,35.759231178819704,0.28443050917445,0.3443141652279083,0.2903981701126372,-0.7485107481711011,0.6631226582407952,149.35,0.24,3.56,3635000,moderee,transmission,0.00011460799082949512
DAKAR,2018,46,24.631428571428568,25.92,23.32,25.04,0.8,76.71000000000001,5.54,101.25142857142858,0.4071428571428571,0.9,2.15,0.2681925359175748,35.055228585034776,0.2833320120555332,0.3143723372011792,0.3436638255937289,-0.6631226582407955,0.7485107481711007,401.4,0.89,13.44,3635000,moderee,transmission,0.00014738443503311074
DAKAR,2018,47,23.33714285714285,24.9,22.34,23.15428571428572,0.27,79.10285714285715,5.778571428571429,101.38714285714286,0.3928571428571428,0.9,2.14,0.2541515568985332,32.31050508179552,0.2822335149366166,0.28443050917445,0.3589599094241832,-0.5680647467311559,0.8229838658936564,64.66,0.26,0.24,3635000,moderee,seche,0.00010859518321078351
DAKAR,2018,48,23.737142857142857,28.79,21.58,22.72714285714286,0.61,72.25428571428571,4.305714285714286,101.12714285714286,0.3771428571428571,0.8928571428571429,1.18,0.2479676307005882,32.341433241861914,0.2681925359175748,0.2833320120555332,0.3742559932546375,-0.4647231720437684,0.88545602565321,81.24,0.8,0.89,3635000,moderee,seche,0.0001001727327666768
DAKAR,2018,49,25.207142857142856,29.57,22.13,24.26571428571429,0.04,64.00857142857143,3.282857142857143,101.17714285714284,0.3585714285714285,0.89,0.76,0.2417837045026432,36.07434511955864,0.2541515568985332,0.2822335149366166,0.3443141652279083,-0.3546048870425359,0.9350162426854148,65.17,0.27,0.26,3635000,moderee,seche,8.637072838664257e-05
DAKAR,2018,50,24.29714285714285,27.75,21.19,23.8,0.07,66.45857142857143,4.852857142857142,101.53571428571428,0.3428571428571428,0.8842857142857143,1.02,0.2350250715105612,35.0728940417423,0.2479676307005882,0.2681925359175748,0.3143723372011792,-0.2393156642875578,0.970941817426052,78.94,0.61,0.8,3635000,moderee,seche,9.118864259863786e-05
DAKAR,2018,51,23.548571428571428,27.64,21.37,22.66714285714286,0.0,67.32857142857144,4.671428571428572,101.38857142857144,0.3271428571428571,0.88,0.78,0.2282664385184792,34.07144296392597,0.2417837045026432,0.2541515568985332,0.28443050917445,-0.1205366802553236,0.992708874098054,65.42,0.04,0.27,3635000,moderee,seche,9.028565777002534e-05
DAKAR,2018,52,22.805714285714284,27.71,19.91,22.68428571428572,0.0,66.73142857142857,4.464285714285714,101.30428571428573,0.3171428571428571,0.88,0.52,0.2215078055263973,31.872216518416927,0.2350250715105612,0.2479676307005882,0.2833320120555332,6.432490598706546e-16,1.0,74.1,0.07,0.61,3635000,moderee,seche,8.981609139669739e-05
DAKAR,2019,1,23.461428571428574,28.09,20.21,22.70428571428572,0.0,65.68857142857142,4.752857142857144,101.45285714285714,0.3042857142857142,0.88,0.72,0.2205062688000962,32.31782801877991,0.2282664385184792,0.2417837045026432,0.2822335149366166,0.120536680255323,0.992708874098054,71.38,0.0,0.04,3732000,moderee,seche,8.689769941269336e-05
DAKAR,2019,2,22.58428571428572,26.21,20.37,22.205714285714286,1.3,71.68571428571428,4.244285714285715,101.30142857142856,0.2985714285714285,0.88,0.49,0.2195047320737951,31.85552492218734,0.2215078055263973,0.2350250715105612,0.2681925359175748,0.2393156642875577,0.970941817426052,71.38,0.0,0.07,3732000,moderee,seche,9.57276423966732e-05
DAKAR,2019,3,21.67428571428572,23.71,18.6,21.464285714285715,1.23,73.93714285714285,6.222857142857143,101.46428571428572,0.2928571428571428,0.88,0.69,0.2182805944619778,32.5130861305887,0.2205062688000962,0.2282664385184792,0.2541515568985332,0.3546048870425356,0.9350162426854148,71.38,0.0,0.0,3732000,moderee,seche,9.83286351784245e-05
